aid,view,danmaku,reply,favorite,coin,share,like,dislike,no_reprint,copyright
83697364,2875408,6707,3336,191751,253732,9565,287269,0,1,1
83504357,3232676,46689,8988,71825,256396,12411,333928,0,1,1
83699879,1157403,14674,4534,62814,190564,13903,170870,0,1,1
83422239,2339481,12612,5672,74811,95783,17496,204413,0,1,1
83906533,733642,2797,1859,32899,77418,12033,92124,0,1,1
83613340,1241581,2075,4281,19419,37529,2204,148244,0,1,1
83673508,882940,14058,2144,14561,21147,7191,50229,0,1,1
80849923,2334713,33170,4283,233725,323363,23342,273360,0,1,1
83755738,396323,833,874,24636,30101,1301,39186,0,1,1
83647477,319081,949,594,24037,17773,1995,31898,0,1,1
83285530,694984,1582,399,18414,6576,4093,27496,0,1,1
82738885,3429979,15893,3640,200946,263377,110266,303239,0,1,1
83094242,991875,1624,1003,29649,20147,1034,46751,0,1,1
83683604,598732,877,644,11792,9818,4495,40340,0,1,1
82976636,2313143,6229,4310,88511,168281,15455,220817,0,1,1
83330868,1033919,1737,636,22902,29254,6166,59204,0,1,1
83681660,243845,792,691,17163,11704,1360,18253,0,1,1
83540941,604759,1377,812,6035,14183,359,42398,0,1,1
83776204,196960,7021,2426,17245,33529,1262,38573,0,1,1
83805672,292282,499,717,13992,20206,892,31675,0,1,1
83518206,433153,1702,793,9624,35026,481,59454,0,1,1
83470839,351531,1284,688,17570,17175,1098,34735,0,1,1
83265639,800525,3005,1835,28797,48762,18211,82333,0,1,1
83702902,230800,1228,1115,8830,13002,819,24911,0,1,1
83667579,187363,2204,501,11378,20120,2086,24732,0,1,1
83957485,227107,1273,1532,10566,21978,1059,28000,0,1,1
83337692,470229,1311,1981,30282,75892,3666,69570,0,1,1
83097729,424692,19336,1418,11777,14190,2060,49430,0,1,1
77242567,1710584,3258,2920,138882,162482,5695,182867,0,1,1
83764373,213469,197,463,7169,11798,983,25564,0,1,1
83800507,357169,1298,581,5849,13088,275,36105,0,1,1
83574498,276882,382,279,5720,6405,2764,18645,0,1,1
83442210,195798,404,393,14690,10701,616,17526,0,1,1
82473138,2250801,4197,1942,119081,90271,7040,127813,0,1,1
75169619,8433386,38998,8720,537304,856763,27392,806160,0,1,1
83448238,640185,648,878,2818,2645,2089,27069,0,1,1
83740989,125637,298,302,10982,5007,846,17179,0,1,1
83572048,132757,3407,792,8687,10771,421,12639,0,1,1
83883005,142582,723,423,11469,6843,839,16014,0,1,1
83752212,249893,90,333,5290,3253,2828,13682,0,1,1
83780855,305530,423,657,7036,8291,2079,22866,0,1,1
79126156,3475723,10103,3643,195083,426721,17730,394379,0,1,1
83790361,273677,580,321,4776,4186,2965,17657,0,1,1
83519974,263474,1339,566,6019,2107,146,14057,0,1,1
83325225,166317,2351,768,18785,25901,1351,26888,0,1,1
82508014,1750465,5427,3213,60198,114309,2228,145780,0,1,1
83841473,268318,219,1062,6895,7206,5959,15284,0,1,1
78273046,4626534,82348,24017,330083,272567,24433,297624,0,1,1
83223951,482104,1552,1203,24527,23381,12940,46180,0,1,1
83740712,227676,447,464,3696,2000,2252,11858,0,1,1
83573851,219089,634,600,3944,8723,359,22001,0,1,1
81507945,843215,7952,1631,65262,109997,5730,84536,0,1,1
83553025,134498,494,520,7321,7243,513,16858,0,1,1
83568756,191676,900,948,6934,2811,3564,7891,0,0,2
79906468,1078582,4784,1332,93807,97117,4950,120184,0,1,1
83473712,183163,169,431,5639,1887,307,8342,0,1,1
39425207,11166737,87157,16622,938059,1056266,148384,918943,0,1,1
83634368,175429,1287,553,3510,5188,425,11312,0,1,1
83398082,473082,1957,1000,16613,34466,2407,51989,0,1,1
82683537,945265,2357,1315,33303,59817,2056,74223,0,1,1
83899298,197723,9914,1439,3193,5068,835,13781,0,1,1
82079608,881683,2992,1167,34097,44150,1476,75259,0,1,1
81926477,827184,3267,1473,56302,46132,9192,66616,0,1,1
83547828,271573,2579,3070,3332,5359,820,17367,0,1,1
82009420,373824,2178,1356,18030,19838,1061,32493,0,1,1
82567937,1377221,12427,3774,53490,44245,67347,116192,0,0,2
83789352,79404,767,247,8475,4826,385,11490,0,1,1
83735887,96488,156,166,6463,1370,1082,9544,0,0,2
82300809,1805458,1065,2707,39172,34326,10765,98643,0,1,1
81844032,1693794,8645,3903,58343,42657,7717,141766,0,1,1
83073398,299900,835,334,18277,24085,1408,28672,0,1,1
83309428,87118,353,383,15835,10986,743,16448,0,1,1
83474778,220039,1669,1393,3302,9718,1587,25300,0,1,1
52026743,5523863,29322,8321,251129,331596,26203,392763,0,1,1
83544952,149090,171,620,2965,2069,390,8860,0,1,1
82134612,441542,1104,365,17810,16047,1009,52354,0,1,1
80474667,1840432,4974,3661,129227,201533,54664,207501,0,1,1
81303286,1632968,1666,693,35145,45473,8248,95206,0,1,1
81588796,1484660,14742,3690,55390,40014,46806,129439,0,0,2
82761114,1771388,12011,10519,121555,204025,22970,156245,0,0,1
75467710,2917520,24869,3326,121363,101494,13481,175661,0,1,1
83834165,102283,144,278,5847,3353,631,12496,0,1,1
83912690,77419,281,265,5888,5825,1104,10364,0,1,1
83365275,227311,928,230,7241,3412,210,10601,0,1,1
83720147,155078,315,400,1882,1600,434,10346,0,0,2
83187924,191824,256,489,2604,3766,878,10684,0,1,1
79272755,4081246,66420,8297,317777,523704,32438,398138,0,1,1
81339241,1139774,2236,1164,26157,20233,4595,69817,0,1,1
83196435,572201,1150,851,6878,71972,685,80394,0,1,1
83906719,109251,384,224,4320,8437,319,14192,0,1,1
83200140,120048,559,433,10772,10131,319,20226,0,1,1
83878621,78431,1046,488,4186,11681,65,13879,0,1,1
83450606,106570,317,153,5064,2497,282,6372,0,1,1
81821077,931039,1318,645,16860,7035,6365,39704,0,0,2
76450312,3610845,25093,4814,294668,542188,27239,495972,0,1,1
83842977,168477,206,231,2345,2427,1028,8638,0,1,1
83629008,142030,1987,495,2714,731,870,7797,0,1,1
83697950,87752,169,316,4164,4302,1287,6212,0,1,1
81899533,1084831,2590,4657,69218,142750,12398,110099,0,1,1
81664816,306536,1601,698,32350,25937,2705,37534,0,1,1
83593642,330950,1879,1571,22091,61397,1531,51110,0,1,1
83328134,347254,1104,895,11121,9573,626,25230,0,1,1
83700483,529347,2046,2499,4037,10744,819,27402,0,1,1
82807944,371946,2253,757,6931,4838,750,19686,0,1,1
82570805,850393,1817,791,64475,44016,5637,78725,0,1,1
83857329,111056,508,648,6628,7176,500,12363,0,1,1
82713853,917564,1907,2389,48634,69103,14439,106092,0,1,1
81804927,2372834,5896,1685,44875,20835,2083,119174,0,1,1
83346215,212241,420,369,5326,8863,1312,17146,0,1,1
83794429,114294,267,298,4044,2381,128,6761,0,1,1
83355223,434887,873,799,7536,19028,454,33377,0,1,1
81573037,543835,710,317,20304,20060,943,36009,0,1,1
83432515,210352,216,275,79,22,26,881,0,1,1
80983081,507001,2184,637,24302,47804,1393,57667,0,1,1
71601833,6244596,9517,2322,155529,199029,35893,288109,0,1,1
82696444,246332,640,632,16560,15865,840,31043,0,1,1
83745377,92482,260,335,942,1572,76,5361,0,1,1
80995223,126959,2415,455,9929,2026,520,10303,0,1,1
82548584,168623,776,260,10557,12526,1228,15949,0,1,1
80275194,762137,652,430,24727,25570,980,57763,0,1,1
80136937,472401,2113,1120,18403,23453,3556,42886,0,1,1
83419049,43754,1204,383,3707,2902,149,6324,0,1,1
45973690,6978309,133350,16391,433430,488210,85690,615601,0,1,1
83495907,64640,551,446,716,914,24,4468,0,1,1
83676067,37460,483,269,1753,1880,103,3808,0,1,1
83652223,63530,603,398,424,592,129,5288,0,1,1
33150931,2635499,586,299,12119,2257,1940,16734,0,1,1
70859103,1514458,5619,1241,28799,34821,2685,73569,0,1,1
