aid,coins,play,pts,review
83697364,229104,2606866,5034692,6198
83504357,178187,2564533,2325147,30296
83699879,183957,1094069,2281753,14115
83422239,72126,1730708,1989975,9860
83906533,67993,590215,1174921,2438
83613340,36156,1115910,1083248,2021
83673508,20302,840331,857300,13756
80849923,35522,200703,810536,3951
83755738,23138,304987,746887,685
83647477,15729,279625,727522,863
83285530,4914,522735,693927,1198
82738885,18930,299742,676389,1570
83094242,9961,453820,668670,860
83683604,9404,561581,663234,830
82976636,21218,332025,614125,913
83330868,11472,415864,578457,859
83681660,10921,226209,572078,754
83540941,13651,558383,566500,1324
83776204,30958,175556,565948,6536
83805672,18896,265564,553000,462
83518206,30234,353411,546378,1539
83470839,11687,251151,509804,861
83265639,14349,229999,435684,958
83702902,12664,223022,421232,1199
83667579,18416,164965,414654,2065
83957485,19307,180610,404770,994
83337692,22796,158516,394323,472
83097729,6919,260007,374328,11350
77242567,14547,124826,373312,298
83764373,11274,201357,369300,192
83800507,10618,280063,366264,1074
83574498,6266,266489,361983,376
83442210,7739,139301,358693,243
82473138,6525,151205,356188,334
75169619,12287,134750,348240,658
83448238,1637,372405,336912,397
83740989,4529,111317,327932,285
83572048,10477,127710,327401,3278
83883005,5634,118140,325683,631
83752212,3055,233148,319963,89
83780855,5467,207755,313124,320
79126156,14920,130498,308003,376
83790361,3670,233506,306678,478
83519974,1737,217318,304610,1180
83325225,11316,80948,285181,945
82508014,8248,142228,285065,520
83841473,5265,184654,284084,124
78273046,5396,122632,281693,1983
83223951,6430,124438,280277,447
83740712,1868,208650,271454,428
83573851,7979,190930,266155,580
81507945,11155,88949,263704,619
83553025,5830,114649,259678,408
83568756,1927,154706,253787,574
79906468,7087,85168,244055,460
83473712,1534,153258,241587,138
39425207,7522,91153,235950,894
83634368,5033,167206,235509,1257
83398082,7010,134672,229311,504
82683537,6914,110433,224431,357
83899298,4573,168612,224060,8864
82079608,5614,119807,222348,507
81926477,4262,99475,220398,382
83547828,2753,196442,217244,1596
82009420,5493,97768,216565,664
82567937,3250,108305,215792,1252
83789352,4019,63842,215581,657
83735887,1330,93014,214920,154
82300809,2297,149038,209216,98
81844032,2728,123624,209088,516
83073398,6450,84359,206898,190
83309428,4920,44287,206323,126
83474778,6601,153264,205746,1151
52026743,3800,119369,201086,690
83544952,2013,146436,200089,169
82134612,4011,93923,193494,259
80474667,5899,70105,191394,251
81303286,2060,151767,187446,146
81588796,2496,101566,184329,1311
82761114,5900,68550,183525,471
75467710,2481,110122,183394,854
83834165,2679,84258,183090,119
83912690,5104,65903,182814,260
83365275,1556,109417,180861,435
83720147,1575,151412,180275,314
83187924,2703,141054,178984,192
79272755,8241,62038,177751,1181
81339241,2183,125539,175673,230
83196435,14030,114394,174623,265
83906719,7049,86558,174530,361
83200140,4070,58603,173895,179
83878621,11047,70129,173650,976
83450606,1979,90334,173060,243
81821077,807,142052,171978,162
76450312,6482,72818,170944,442
83842977,1952,132353,170167,174
83629008,637,125134,168705,1770
83697950,4122,81272,168477,164
81899533,4256,86833,165910,139
81664816,4006,51255,165867,345
83593642,54943,293884,785866,1725
83328134,8573,313396,512103,977
83700483,9573,478268,461730,1869
82807944,3490,272739,340358,1752
82570805,4357,92331,266142,216
83857329,6729,102914,251353,489
82713853,5700,110184,235314,190
81804927,1361,153012,215365,487
83346215,5761,131422,210457,217
83794429,2146,103107,185725,235
83355223,6327,122615,185145,220
81573037,3436,59449,132499,101
83432515,12,138766,128076,108
80983081,5426,52320,126160,214
71601833,1599,93687,122605,128
82696444,2721,44681,117153,205
83745377,1543,89880,106306,241
80995223,675,37668,99743,825
82548584,2631,41077,96047,164
80275194,1717,44340,84177,51
80136937,1728,43820,80752,211
83419049,1999,27866,80499,610
45973690,1705,35569,71533,635
83495907,719,59946,69239,342
83676067,1693,33923,68898,443
83652223,584,62851,67664,595
33150931,48,59685,58174,88
70859103,691,38355,57286,258
80821264,1225,21585,55272,52
83737568,193,50986,54941,30
83611998,1205,19774,52137,175
81457688,579,42387,51780,296
81843519,1266,30067,51275,105
77937578,136,33142,46449,41
50409954,3,50768,45846,2
82243171,720,23905,45334,13
81685929,1564,26524,45215,84
15296402,7,49599,45074,15
83509601,40,47197,44475,68
71565603,778,21922,41775,87
81865219,358,35881,41446,65
83698368,551,28792,41064,165
41048301,443,27731,40940,339
82906512,952,25999,40551,54
81726496,264,30632,40411,114
81724657,246,35839,40037,19
81842793,1340,24827,39111,132
83569653,1449,29895,38608,309
80082886,188,24974,38214,23
83856887,151,35829,37834,53
42169792,28,39955,35959,48
29016659,104,31630,35553,79
83123541,1528,17278,34619,78
81484374,417,6422,34331,245
83039375,52,31232,33945,30
73414180,665,17337,33848,32
81631256,80,32097,33518,47
76559715,1156,14753,33271,96
77540232,574,13992,33167,72
82815448,29,35365,32992,47
81259784,98,33004,32780,73
71045160,563,14903,32704,44
83987369,287,30094,32488,109
79935157,327,23572,32222,32
82760258,102,30822,31054,97
83923803,306,17351,30527,368
82605337,345,28657,30326,221
81516449,359,21733,29020,30
83267572,238,14346,28811,79
81920663,95,26167,28731,15
78935442,188,18421,28682,34
82913645,186,25003,28218,25
76431087,172,11372,28145,42
60880007,369,13580,27285,62
82064362,155,18642,27172,33
79070585,416,20762,26970,317
79749856,53,22908,25317,21
83471715,266,19598,25104,31
82978670,47,23872,24535,47
81606400,7,24554,23233,11
76540057,455,7388,22809,58
81658916,261,12092,22552,52
83772759,207,16348,22503,147
83538054,146,12947,22458,232
83745753,435,12560,21606,77
83681674,16,22667,20999,46
78912279,172,15147,20808,17
81417175,190,15351,19785,197
83954984,523,6632,19744,1152
77716483,131,14047,19637,14
63760741,86,21145,19010,49
62284484,131,19083,19009,40
73865859,110,14683,18455,37
66827555,345,6234,18250,485
32610975,2,19890,18090,0
83770573,275,9752,17886,97
83075773,2,18905,17464,8
10227864,219,12693,17357,401
81163163,524,7110,17108,34
82493428,95,14519,17038,18
83482660,61335,675696,1501693,2393
83307047,51929,593710,1399278,12207
83422028,17072,504255,784605,2953
81000061,39370,178270,727158,2330
83500056,12353,439013,681138,502
83803854,26541,129618,653904,1194
80128837,16234,174069,625179,557
83816199,18735,250846,475546,2436
82724544,8386,251099,446492,5235
80702836,16674,162578,443591,470
83276582,4644,341961,442502,461
83462504,20036,162854,417781,821
83735098,10286,303855,409492,886
83193619,1172,309013,386683,858
83896647,13769,184539,381798,1191
83455107,13329,79584,360512,821
83341369,10727,145753,344930,454
80964216,10128,123165,321786,338
82014020,7829,156516,321762,436
81160313,9868,88470,301604,440
83602606,2648,266420,299628,574
81084520,13048,105897,297589,496
80697473,310,307855,291451,129
80929385,6397,175397,286242,851
83534401,319,252691,257023,290
83795543,11428,85349,252380,1099
83834232,10058,78111,232813,828
82471245,72,261787,231672,121
81437161,5581,106030,225482,183
1250357,6836,124073,224517,737
45031807,1347,141180,221925,99
38571069,6528,68131,219660,358
82775245,5872,74573,208149,66
83735720,9778,116972,207939,476
67439251,5764,101099,199686,409
79240553,5435,75394,198356,139
82927321,4282,92162,189873,123
83774561,7781,38331,189087,381
83765590,10802,122055,187846,3816
82331929,5001,101486,187383,409
82093827,5591,104992,185880,346
83828800,6845,41816,184148,310
83910145,3487,98644,179515,350
82741699,4398,68008,177266,1622
83725248,9010,49212,176487,1456
83686113,7051,57869,176263,468
83096707,1641,138320,170985,291
76088106,1302,87671,168513,1008
81650230,378,134339,165867,122
80169175,2029,59077,165749,362
64812845,1984,85860,165289,630
78996367,849,125213,161746,180
83511426,7987,108640,159186,714
81162680,48,169286,157459,137
67095143,1604,85611,155103,554
83394210,107,149165,152107,412
81753697,6971,84654,149238,183
83574920,20,160174,146641,117
83989002,5430,43583,145776,316
36945064,999,93491,144743,2016
83244250,4255,76630,142042,185
82591115,101,147549,141906,911
81002325,4276,24855,140607,1145
80108309,5857,57372,140561,875
73651064,4750,80064,139909,207
80110777,4349,82751,139638,84
80985232,4817,59435,138990,368
83870480,5174,39984,138697,267
31312340,2802,60000,138511,981
81093863,2521,64119,133192,157
79193589,3145,64767,131951,82
83564795,3164,63409,129966,245
83839472,3439,56947,128722,309
78245445,1404,53658,127511,239
69481948,854,81974,125663,915
83874383,444,77047,125489,372
83641073,4364,51576,124493,279
75965449,2137,76112,124403,1009
83540760,3741,62411,122533,362
83642402,3809,59641,121590,10439
83862726,4492,90820,120634,448
79016506,5140,74525,118954,208
83528744,28,119163,118233,75
83693987,3827,27733,118230,266
83019019,998,57658,117836,276
83683501,329,112212,116348,148
36570568,2439,60382,115978,339
83356696,390,92414,114342,78
80321221,1931,79181,113995,22
83630934,2915,61225,113952,139
80941306,3451,53662,111550,153
80323702,742,41456,109406,107
77680413,3337,56777,108355,347
82239830,803,67719,107510,315
81391529,3426,41718,106291,100
